album_id,album_name,album_release_date,album_total_tracks,album_url
3JdE4IkqObXwTWzYKieCUv,Gang Leader (Original Motion Picture Soundtrack),2019-09-05,4,https://open.spotify.com/album/3JdE4IkqObXwTWzYKieCUv
3PbLl0McqSI8V1cNHcc2DK,Emo Emo Emo Nannu Taake Haaye Premo,2020-04-08,1,https://open.spotify.com/album/3PbLl0McqSI8V1cNHcc2DK
33bGNKG4SqamfmuenEbtcn,"Nuvve Nuvve (From ""Red"")",2020-03-06,1,https://open.spotify.com/album/33bGNKG4SqamfmuenEbtcn
6edNaUK05Nxpxd4lWQ8Kt2,Colour Photo,2020-09-21,1,https://open.spotify.com/album/6edNaUK05Nxpxd4lWQ8Kt2
1LwCzBciwXJwMuZKQj0bf6,Most Eligible Bachelor,2020-03-02,1,https://open.spotify.com/album/1LwCzBciwXJwMuZKQj0bf6
7EvKnbGkPEa6eNqUBpErN4,Sirivennela - Shyam Singha Roy - Telugu,2021-12-07,1,https://open.spotify.com/album/7EvKnbGkPEa6eNqUBpErN4
58NXiVpUmNSTBYYrPjuzqD,"Padi Padi Leche (From ""Padi Padi Leche Manasu"")",2018-11-12,1,https://open.spotify.com/album/58NXiVpUmNSTBYYrPjuzqD
0OoEFhoQlSEubB7edcGCQ8,Sujatha - Telugu Hits,2018-04-06,11,https://open.spotify.com/album/0OoEFhoQlSEubB7edcGCQ8
3XXCdggLOjADCViuXhn2XM,Prema Desam,1996-08-23,6,https://open.spotify.com/album/3XXCdggLOjADCViuXhn2XM
4Obc7YRza2GG7doBkJ5HrX,Manchi Manasulu,1992-01-01,4,https://open.spotify.com/album/4Obc7YRza2GG7doBkJ5HrX
3BQo5xJMds0LOpSZqnsHpx,Iddaru,1997-12-31,8,https://open.spotify.com/album/3BQo5xJMds0LOpSZqnsHpx
1fqfENcKu7uIBmYWMTTiNX,Premikudu,2014-08-01,9,https://open.spotify.com/album/1fqfENcKu7uIBmYWMTTiNX
7zeJtHUSAZwlpXUijYJAsn,Yevade Subramanyam,2015-02-21,6,https://open.spotify.com/album/7zeJtHUSAZwlpXUijYJAsn
7euh83DiFlzDHsXEY28Cnt,Sammohanam,2018-05-12,4,https://open.spotify.com/album/7euh83DiFlzDHsXEY28Cnt
5LDMi2W1Lu0HB4eXb2uHEa,"Oh Velluvai (From ""Sreekaram"")",2018-08-24,1,https://open.spotify.com/album/5LDMi2W1Lu0HB4eXb2uHEa
