song_name,song_id,song_popularity,song_duration,song_url,album_id,artist_id,artist_name
Hoyna Hoyna,7mNQwVYgoB3mtjkjCKsbXM,58,271937,https://open.spotify.com/track/7mNQwVYgoB3mtjkjCKsbXM,3JdE4IkqObXwTWzYKieCUv,4zCH9qm4R2DADamUHMCa6O,Anirudh Ravichander
Emo Emo Emo Nannu Taake Haaye Premo,5GkNYFFmyDe0Y8zJYDEf71,27,243000,https://open.spotify.com/track/5GkNYFFmyDe0Y8zJYDEf71,3PbLl0McqSI8V1cNHcc2DK,2W19xkR3LeyE7zvES5ULvb,Pravin Lakkaraju
"Nuvve Nuvve (From ""Red"")",7Ft65MCYElRCDo7jOekQFs,0,253277,https://open.spotify.com/track/7Ft65MCYElRCDo7jOekQFs,33bGNKG4SqamfmuenEbtcn,4svvMm4TQnkphZJfhLCzzv,Ramya Behara
Arere Aakasham - Telugu,6w0C4Zk1SqRsZR3kCOiduW,47,206250,https://open.spotify.com/track/6w0C4Zk1SqRsZR3kCOiduW,6edNaUK05Nxpxd4lWQ8Kt2,6LWyVEIBnx7MoRBhQxu9om,Anurag Kulkarni
Manasa Manasa - Telugu,4kEd65XC9mEFTiscE6f6N9,52,253411,https://open.spotify.com/track/4kEd65XC9mEFTiscE6f6N9,1LwCzBciwXJwMuZKQj0bf6,7qjJw7ZM2ekDSahLXPjIlN,Sid Sriram
Sirivennela,7L2D6W7e8mn0zf8cH78Ch4,59,253595,https://open.spotify.com/track/7L2D6W7e8mn0zf8cH78Ch4,7EvKnbGkPEa6eNqUBpErN4,6LWyVEIBnx7MoRBhQxu9om,Anurag Kulkarni
"Padi Padi Leche (From ""Padi Padi Leche Manasu"")",1LzrEBELUtfgvc8pKhL3Ct,0,203777,https://open.spotify.com/track/1LzrEBELUtfgvc8pKhL3Ct,58NXiVpUmNSTBYYrPjuzqD,4IKVDbCSBTxBeAsMKjAuTs,Armaan Malik
"Na Cheli Rojave (From ""Roja"")",7dx3x9Kczf8Z5fHOsZtqck,0,296472,https://open.spotify.com/track/7dx3x9Kczf8Z5fHOsZtqck,0OoEFhoQlSEubB7edcGCQ8,2ae6PxICSOZHvjqiCcgon8,S. P. Balasubrahmanyam
Prema Prema,5PDx7sVGIIdAlKhdSiUnUj,55,340000,https://open.spotify.com/track/5PDx7sVGIIdAlKhdSiUnUj,3XXCdggLOjADCViuXhn2XM,1mYsTxnqsietFxj1OgoGbG,A.R. Rahman
Jabilli Kosam-Male,4imLxNMs05m3Co3CORrQtm,52,267624,https://open.spotify.com/track/4imLxNMs05m3Co3CORrQtm,4Obc7YRza2GG7doBkJ5HrX,2ae6PxICSOZHvjqiCcgon8,S. P. Balasubrahmanyam
Sasivadane,0vdM9rMNxaTrnzwij8Rnng,51,382440,https://open.spotify.com/track/0vdM9rMNxaTrnzwij8Rnng,3BQo5xJMds0LOpSZqnsHpx,0mV4UQ0gHg59AAUtg968pX,Unnikrishnan
O Cheliya,6QreIcgO4nIJ4cCtRmotg6,0,311222,https://open.spotify.com/track/6QreIcgO4nIJ4cCtRmotg6,1fqfENcKu7uIBmYWMTTiNX,0mV4UQ0gHg59AAUtg968pX,Unnikrishnan
Challa Gaali Thakuthunna,1ixAWv7Y8ZJa32zdnRLZru,0,245498,https://open.spotify.com/track/1ixAWv7Y8ZJa32zdnRLZru,7zeJtHUSAZwlpXUijYJAsn,4chi55fx5usXwPsJq1g2a3,Senthil
